Gene	Birch #	Qn	N insertions	Species
ZFP28	2	57.77	12	Phyllostomus_discolor, Artibeus_jamaicensis, Callorhinus_ursinus, Zalophus_californianus, Panthera_uncia, Lynx_canadensis, Ovis_aries, Desmodus_rotundus, Talpa_occidentalis, Eschrichtius_robustus, Panthera_leo, Vulpes_lagopus
OR1Q1	1	39.99	13	Addax_nasomaculatus, Kobus_leche_leche, Procapra_przewalskii, Plecotus_auritus, Lynx_pardinus, Damaliscus_lunatus, Tremarctos_ornatus, Otocolobus_manul, Muntiacus_reevesi, Capricornis_sumatraensis, Dama_dama, Plecotus_auritus, Antechinus_stuartii
STK19	1	35.55	16	Diceros_bicornis_minor, Paramormyrops_kingsleyae, Equus_caballus, Equus_asinus, Pteropus_alecto, Bubalus_bubalis, Sorex_araneus, Pipistrellus_kuhlii, Physeter_macrocephalus, Eschrichtius_robustus, Pongo_abelii, Cyprinus_carpio_carpio, Neophocaena_asiaeorientalis_asiaeorientalis, Pongo_pygmaeus, Moschus_berezovskii, Manis_pentadactyla
H4C7	1	35.55	26	Vombatus_ursinus, Bufo_gargarizans, Phascolarctos_cinereus, Suricata_suricatta, Dasypus_novemcinctus, Antechinus_flavipes, Gracilinanus_agilis, Vombatus_ursinus, Trichosurus_vulpecula, Hipposideros_armiger, Dromiciops_gliroides, Phascolarctos_cinereus, Bufo_bufo, Gracilinanus_agilis, Trichosurus_vulpecula, Myotis_lucifugus, Miniopterus_natalensis, Phascolarctos_cinereus, Sarcophilus_harrisii, Dromiciops_gliroides, Monodelphis_domestica, Lagenorhynchus_albirostris, Cryptoprocta_ferox, Cheilinus_undulatus, Bufo_gargarizans, Sarcophilus_harrisii
SH3YL1	1	33.33	18	Stenella_coeruleoalba, Eubalaena_glacialis, Rupicapra_rupicapra, Equus_caballus, Gadus_morhua, Equus_asinus, Martes_foina, Ovibos_moschatus, Okapia_johnstoni, Tropheus_moorii, Hydropotes_inermis, Ammotragus_lervia, Hippopotamus_amphibius_kiboko, Nycticebus_coucang, Kobus_leche_leche, Lipotes_vexillifer, Sagmatias_obliquidens, Erythrocebus_patas
SNX21	1	31.11	26	Labrus_bergylta, Tadarida_brasiliensis, Mus_musculus, Vicugna_pacos_huacaya, Menidia_menidia, Phrynosoma_platyrhinos, Thryonomys_swinderianus, Pantherophis_guttatus, Terrapene_triunguis, Callorhinus_ursinus, Anas_zonorhyncha, Vicugna_vicugna_mensalis, Potos_flavus, Echinops_telfairi, Lama_guanicoe_cacsilensis, Mandrillus_leucophaeus, Balaenoptera_musculus, Eumetopias_jubatus, Neogale_vison, Physeter_macrocephalus, Aix_galericulata, Hyperoodon_ampullatus, Otus_sunia, Marmota_himalayana, Scyliorhinus_canicula, Grammomys_surdaster
PDE4A	1	31.11	10	Rhinoceros_unicornis, Cercopithecus_mona, Eulemur_rufifrons, Procavia_capensis, Urocyon_cinereoargenteus, Elephas_maximus, Phacochoerus_africanus, Heterohyrax_brucei, Scaptochirus_moschatus, Dicerorhinus_sumatrensis_harrissoni
ARMH3	1	31.11	15	Eospalax_fontanierii, Gorilla_gorilla_gorilla, Melospiza_melodia_maxima, Pan_troglodytes, Octodon_degus, Canis_lupus_dingo, Hirundo_rustica_rustica, Lepus_europaeus, Galemys_pyrenaicus, Cephalopachus_bancanus, Hystrix_brachyura, Ailurus_styani, Elephas_maximus, Pitangus_sulphuratus, Pan_paniscus
PPP1R42	1	28.88	10	Corvus_cornix_cornix, Lama_guanicoe_cacsilensis, Odocoileus_virginianus_texanus, Alexandromys_oeconomus, Caretta_caretta, Ammospiza_nelsoni, Equus_caballus, Chelonia_mydas, Eschrichtius_robustus, Phataginus_tricuspis
ACAD8	1	28.88	11	Phrynocephalus_forsythii, Triplophysa_siluroides, Eubalaena_glacialis, Balaenoptera_physalus, Dugong_dugon, Physeter_macrocephalus, Lophiomys_imhausi, Phyllotis_vaccarum, Moschus_moschiferus, Castor_canadensis, Hippopotamus_amphibius_kiboko
CATSPERB	2	26.66	10	Eptesicus_fuscus, Solenodon_paradoxus, Gopherus_evgoodei, Procavia_capensis, Vulpes_ferrilata, Nycticebus_bengalensis, Galemys_pyrenaicus, Kogia_breviceps, Eumetopias_jubatus, Chelonoidis_abingdonii
CA8	1	24.44	10	Phacochoerus_africanus, Aix_galericulata, Lynx_canadensis, Ophiophagus_hannah, Dipus_sagitta, Balaenoptera_physalus, Tadarida_brasiliensis, Falco_rusticolus, Bison_bonasus, Dipodomys_ordii
CCNI	1	22.22	10	Dromiciops_gliroides, Myiozetetes_cayanensis, Lepidothrix_coronata, Vulpes_lagopus, Colinus_virginianus, Callipepla_squamata, Buteo_japonicus, Naja_naja, Empidonax_traillii, Manacus_candei
IGFBPL1	1	22.22	11	Theropithecus_gelada, Halichoerus_grypus, Neotoma_lepida, Mirounga_angustirostris, Odocoileus_hemionus_hemionus, Bison_bison_bison, Tamias_sibiricus, Neomonachus_schauinslandi, Spermophilus_citellus, Hydropotes_inermis, Martes_foina
PPM1F	1	22.22	10	Pipistrellus_kuhlii, Chionomys_nivalis, Glossophaga_mutica, Liparis_tanakae, Eospalax_fontanierii, Pantholops_hodgsonii, Tursiops_truncatus, Condylura_cristata, Sagmatias_obliquidens, Physeter_macrocephalus
POFUT2	1	22.22	10	Archocentrus_centrarchus, Galemys_pyrenaicus, Galeopterus_variegatus, Lyroderma_lyra, Moschus_berezovskii, Pan_troglodytes, Bubo_bubo, Macaca_thibetana_thibetana, Alouatta_palliata, Pelodiscus_sinensis
MEMO1	1	22.22	14	Alces_alces, Rangifer_tarandus_platyrhynchus, Oryx_dammah, Dama_dama, Muntiacus_reevesi, Rucervus_eldii_siamensis, Ovibos_moschatus, Mandrillus_sphinx, Molossus_molossus, Budorcas_taxicolor, Capricornis_sumatraensis, Ammotragus_lervia, Rusa_alfredi, Hydropotes_inermis
AMDHD1	1	20	10	Balaenoptera_physalus, Thryonomys_swinderianus, Alexandromys_oeconomus, Chionomys_nivalis, Dipus_sagitta, Rhabdomys_pumilio, Nycticryphes_semicollaris, Rhynchomys_soricoides, Cyprinus_carpio_carpio, Micromys_minutus
CYB5RL	1	17.78	14	Tamias_sibiricus, Rhinopoma_microphyllum, Onychostruthus_taczanowskii, Tapirus_indicus, Canis_lupus_dingo, Phodopus_roborovskii, Empidonax_traillii, Manacus_candei, Mus_musculus, Solenodon_paradoxus, Corapipo_altera, Vombatus_ursinus, Glaucomys_volans, Lepidothrix_coronata
EIF3D	1	17.78	10	Plectropomus_leopardus, Spea_bombifrons, Hirundo_rustica_rustica, Acipenser_ruthenus, Salvelinus_alpinus, Perca_fluviatilis, Myxocyprinus_asiaticus, Melospiza_melodia_maxima, Chloebia_gouldiae, Columba_livia
ZCRB1	1	17.78	12	Neotoma_lepida, Synchiropus_splendidus, Cynopterus_sphinx, Dama_dama, Tamias_sibiricus, Muntiacus_reevesi, Pogona_vitticeps, Equus_caballus, Trachurus_trachurus, Rusa_alfredi, Ornithorhynchus_anatinus, Litocranius_walleri
SPATC1L	1	16.73	8	Mustela_erminea, Lepisosteus_oculatus, Ovis_ammon_polii_x_Ovis_aries, Damaliscus_lunatus, Ovis_ammon_polii, Hyaena_hyaena, Pithecia_pithecia, Meles_meles
TRAPPC13	1	15.55	10	Molossus_molossus, Myotis_myotis, Myotis_brandtii, Albula_glossodonta, Eptesicus_fuscus, Hyla_sarda, Choloepus_didactylus, Hippopotamus_amphibius_kiboko, Larimichthys_crocea, Alligator_sinensis
POLR3C	1	15.55	16	Eschrichtius_robustus, Phocoena_sinus, Cercotrichas_coryphoeus, Dasypus_novemcinctus, Physeter_macrocephalus, Oenanthe_oenanthe, Sturnus_vulgaris, Jaculus_jaculus, Oreocharis_arfaki, Otocyon_megalotis_megalotis, Mirounga_leonina, Muscardinus_avellanarius, Columba_livia, Elachura_formosa, Erithacus_rubecula, Galemys_pyrenaicus
ARSK	1	15.55	11	Chrysemys_picta_bellii, Hystrix_brachyura, Gopherus_evgoodei, Muntiacus_muntjak, Geospiza_fortis, Gopherus_flavomarginatus, Eira_barbara, Phyllostomus_discolor, Aquarana_catesbeiana, Tapirus_indicus, Reithrodontomys_megalotis_longicaudus
SGF29	1	13.95	9	Xiphophorus_hellerii, Tetraodon_nigroviridis, Hylobates_moloch, Cephalopachus_bancanus, Papio_anubis, Scortum_barcoo, Mandrillus_sphinx, Takifugu_flavidus, Hoolock_leuconedys
UBAC1	1	13.38	8	Hemibagrus_wyckioides, Hippopotamus_amphibius_kiboko, Hippopotamus_amphibius, Cyprinus_carpio, Paracanthobrama_guichenoti, Anas_zonorhyncha, Cebus_imitator, Callithrix_jacchus
TBC1D7	1	13.33	11	Strigops_habroptila, Callipepla_squamata, Pipistrellus_kuhlii, Cynopterus_sphinx, Anser_cygnoides, Talpa_occidentalis, Heterohyrax_brucei, Scyliorhinus_canicula, Bettongia_penicillata_ogilbyi, Pongo_abelii, Colinus_virginianus
TK2	1	13.33	11	Pygathrix_nigripes, Cervus_canadensis, Cervus_elaphus, Arctocephalus_gazella, Mirounga_angustirostris, Thomomys_bottae, Lonchura_striata, Lagopus_muta, Lophocebus_aterrimus, Molossus_molossus, Apteryx_rowi
CPLANE2	1	13.33	12	Bos_indicus_x_Bos_taurus, Equus_caballus, Falco_cherrug, Podargus_strigoides, Sphaerodactylus_townsendi, Serinus_canaria, Halichoerus_grypus, Oenanthe_melanoleuca, Sus_scrofa, Bubalus_bubalis, Ochotona_princeps, Euleptes_europaea
KLHL15	1	13.33	13	Ranitomeya_imitator, Passer_montanus, Poecilia_latipinna, Thomomys_bottae, Eublepharis_macularius, Pitangus_sulphuratus, Eptesicus_fuscus, Chelonia_mydas, Phrynosoma_platyrhinos, Macaca_fascicularis, Geotrypetes_seraphini, Caretta_caretta, Atractosteus_spatula
NELFA	1	11.82	5	Ursus_americanus, Zalophus_californianus, Acipenser_oxyrinchus_oxyrinchus, Puma_concolor, Acipenser_oxyrinchus_oxyrinchus
POLR2E	1	11.11	24	Macaca_mulatta, Myxocyprinus_asiaticus, Doryrhina_cyclops, Orcinus_orca, Liparis_tanakae, Manacus_candei, Nesospiza_acunhae, Gasterosteus_aculeatus, Anabarilius_grahami, Crocodylus_porosus, Carlito_syrichta, Crocuta_crocuta, Bos_mutus, Gavialis_gangeticus, Eschrichtius_robustus, Pipra_filicauda, Callorhinus_ursinus, Ranitomeya_imitator, Ovis_aries, Aquarana_catesbeiana, Oreamnos_americanus, Myiozetetes_cayanensis, Bos_taurus, Taeniopygia_guttata
