Gene	Birch #	Qn	N insertions	Species
SPATC1L	1	16.73	8	Mustela_erminea, Lepisosteus_oculatus, Ovis_ammon_polii_x_Ovis_aries, Damaliscus_lunatus, Ovis_ammon_polii, Hyaena_hyaena, Pithecia_pithecia, Meles_meles
UBAC1	1	13.38	8	Hemibagrus_wyckioides, Hippopotamus_amphibius_kiboko, Hippopotamus_amphibius, Cyprinus_carpio, Paracanthobrama_guichenoti, Anas_zonorhyncha, Cebus_imitator, Callithrix_jacchus
NELFA	1	11.82	5	Ursus_americanus, Zalophus_californianus, Acipenser_oxyrinchus_oxyrinchus, Puma_concolor, Acipenser_oxyrinchus_oxyrinchus
KRBA2	1	11.11	10	Dallia_pectoralis, Xenopus_tropicalis, Merluccius_polli, Dallia_pectoralis, Merluccius_polli, Coilia_nasus, Xenopus_laevis, Gekko_japonicus, Coilia_nasus, Dallia_pectoralis
FDXR	1	9.37	8	Megaderma_spasma, Muntiacus_muntjak, Bradypus_torquatus, Aix_galericulata, Ranitomeya_imitator, Nomascus_leucogenys, Colinus_virginianus, Mauremys_mutica
CRYM	1	8.7	8	Pseudorca_crassidens, Equus_asinus, Rattus_norvegicus, Hydropotes_inermis, Sturnira_hondurensis, Phyllostomus_discolor, Sagmatias_obliquidens, Bradypus_torquatus
WWP1	1	8.57	7	Ursus_arctos_horribilis, Bos_indicus_x_Bos_taurus, Corynorhinus_townsendii, Colobus_angolensis_palliatus, Carlito_syrichta, Capra_hircus, Sagmatias_obliquidens
DCAF7	1	8.57	7	Carassius_gibelio, Paracanthobrama_guichenoti, Menidia_menidia, Atlantisia_rogersi, Anoplopoma_fimbria, Ceratotherium_simum_simum, Colinus_virginianus
USP54	1	8.55	6	Vulpes_lagopus, Ctenodactylus_gundi, Nomascus_leucogenys, Pongo_abelii, Onychomys_torridus, Monodelphis_domestica
BPIFB1	1	8.44	5	Neotoma_lepida, Panthera_leo, Eudorcas_thomsonii, Eira_barbara, Rhinoceros_unicornis
SEMA4A	1	7.33	6	Oreocharis_arfaki, Syrrhaptes_paradoxus, Brachypteracias_leptosomus, Galemys_pyrenaicus, Lamprotornis_superbus, Rhynchomys_soricoides
